,file,directory,label,output
0,The_Conjuring_100.5-101.0_0.mp4,./video/,0,Slight Negative
1,Family_Guy_320-330_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
2,Insidious_66.5-67.0_0.mp4,./video/,0,Slight Negative
3,pos_hero1801.mp4,./video/,1,Slight Negative
4,Family_Guy_50-60_1.mp4,./extra_vid2/cut_Vlad/,1,Slight Negative
5,pos_hero8901.mp4,./video/,1,Slight Negative
6,Family_Guy_1030-1040_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
7,Conjuring2_91.5-92.0_0.mp4,./extra_vid/,0,Slight Negative
8,Vlad_1240-1250_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
9,Vlad_420-430_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
10,Vlad_970-980_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
11,Family_Guy_930-940_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
12,SAW_V_34.5-35.0_0.mp4,./video/,0,Slight Negative
13,Conjuring2_6.0-6.5_0.mp4,./extra_vid/,0,Slight Negative
14,Family_Guy_2350-2360_1.mp4,./extra_vid2/cut_Vlad/,1,Slight Negative
15,Vlad_570-580_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
16,Vlad_720-730_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
17,Vlad_180-190_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
18,Vlad_220-230_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
19,Tom_And_Jerry_52.0-52.5_1.mp4,./video/,1,Positive
20,Conjuring2_90.5-91.0_0.mp4,./extra_vid/,0,Slight Negative
21,The_Conjuring_52.5-53.0_0.mp4,./video/,0,Slight Negative
22,0platform_spanish9600.mp4,./video/,0,Slight Negative
23,Tom_And_Jerry_35.5-36.0_1.mp4,./video/,1,Positive
24,The_Conjuring_73.0-73.5_1_0.mp4,./video/,0,Slight Negative
25,Conjuring2_23.5-24.0_0.mp4,./extra_vid/,0,Slight Negative
26,Tom_And_Jerry_19.0-19.5_1.mp4,./video/,1,Slight Negative
27,Vlad_1110-1120_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
28,pos_hero14601.mp4,./video/,1,Slight Negative
29,Family_Guy_210-220_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
30,Condor_Hero2_14.5-15.0_1.mp4,./extra_vid/,1,Slight Negative
31,Family_Guy_2170-2180_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
32,SAW_V_44.5-45.0_0.mp4,./video/,0,Slight Negative
33,Condor_Hero1_12.0-12.5_1.mp4,./extra_vid/,1,Slight Negative
34,0some_saw_scene12000.mp4,./video/,0,Slight Negative
35,Family_Guy_220-230_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
36,Family_Guy_580-590_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
37,Family_Guy_870-880_1.mp4,./extra_vid2/cut_Vlad/,1,Slight Negative
38,Family_Guy_1730-1740_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
39,Conjuring2_98.5-99.0_0.mp4,./extra_vid/,0,Slight Negative
40,Family_Guy_1860-1870_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
41,Conjuring2_106.0-106.5_0.mp4,./extra_vid/,0,Slight Negative
42,Barbie_25.5-26.0_1.mp4,./video/,1,Positive
43,Conjuring2_47.5-48.0_0.mp4,./extra_vid/,0,Slight Negative
44,SAW_VI_7.5-8.0_0.mp4,./video/,0,Slight Negative
45,Halloween_86.5-87.0_0.mp4,./extra_vid/,0,Slight Negative
46,pos_hero16301.mp4,./video/,1,Slight Negative
47,Insidious_9.0-9.5_1_0.mp4,./video/,0,Positive
48,SAW_V_9.5-10.0_0.mp4,./video/,0,Slight Negative
49,Tom_And_Jerry_12.0-12.5_1.mp4,./video/,1,Positive
50,SAW_V_24.0-24.5_0.mp4,./video/,0,Slight Negative
51,0some_saw_scene3200.mp4,./video/,0,Slight Negative
52,Insidious_87.0-87.5_0.mp4,./video/,0,Slight Negative
53,Tom_And_Jerry_64.0-64.5_1.mp4,./video/,1,Positive
54,Vlad_630-640_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
55,Condor_Hero1_13.0-13.5_1.mp4,./extra_vid/,1,Positive
56,Barbie_80.0-80.5_1.mp4,./video/,1,Positive
57,Family_Guy_1780-1790_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
58,0civil_war20000.mp4,./video/,0,Slight Negative
59,Tom_And_Jerry_48.0-48.5_1.mp4,./video/,1,Positive
60,Vlad_560-570_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
61,Family_Guy_1590-1600_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
62,The_Conjuring_97.0-97.5_0.mp4,./video/,0,Slight Negative
63,The_Conjuring_12.0-12.5_0.mp4,./video/,0,Positive
64,Vlad_800-810_1.mp4,./extra_vid2/cut_Vlad/,1,Positive
